index,genres,keywords,popularity,revenue,title,vote_average,vote_count,cast,director,soup
0,"['action', 'adventure', 'fantasy', 'sciencefiction']","['cultureclash', 'future', 'spacewar', 'spacecolony', 'society']",150.437577,2787965087,avatar,7.2,11800,"['samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez']",jamescameron,cultureclash future spacewar spacecolony society samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez action adventure fantasy sciencefiction jamescameron
1,"['adventure', 'fantasy', 'action']","['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife""]",139.082615,961000000,pirates of the caribbean: at world's end,6.9,4500,"['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'chowyun-fat']",goreverbinski,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat adventure fantasy action goreverbinski
2,"['action', 'adventure', 'crime']","['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6']",107.37678799999999,880674609,spectre,6.3,4466,"['danielcraig', 'christophwaltz', 'léaseydoux', 'ralphfiennes', 'monicabellucci']",sammendes,spy basedonnovel secretagent sequel mi6 danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci action adventure crime sammendes
3,"['action', 'crime', 'drama', 'thriller']","['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar']",112.31295,1084939099,the dark knight rises,7.6,9106,"['christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy']",christophernolan,dccomics crimefighter terrorist secretidentity burglar christianbale michaelcaine garyoldman annehathaway tomhardy action crime drama thriller christophernolan
4,"['action', 'adventure', 'sciencefiction']","['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess']",43.926995,284139100,john carter,6.1,2124,"['taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch']",andrewstanton,basedonnovel mars medallion spacetravel princess taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch action adventure sciencefiction andrewstanton
6,"['animation', 'family']","['hostage', 'magic', 'horse', 'fairytale', 'musical']",48.681969,591794936,tangled,7.4,3330,"['zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'm.c.gainey']",nathangreno,hostage magic horse fairytale musical zacharylevi mandymoore donnamurphy ronperlman m.c.gainey animation family nathangreno
7,"['action', 'adventure', 'sciencefiction']","['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision']",134.27922900000002,1405403694,avengers: age of ultron,7.3,6767,"['robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']",josswhedon,marvelcomic sequel superhero basedoncomicbook vision robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson action adventure sciencefiction josswhedon
8,"['adventure', 'fantasy', 'family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry']",98.885637,933959197,harry potter and the half-blood prince,7.4,5293,"['danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon']",davidyates,witch magic broom schoolofwitchcraft wizardry danielradcliffe rupertgrint emmawatson tomfelton michaelgambon adventure fantasy family davidyates
11,"['adventure', 'action', 'thriller', 'crime']","['killing', 'undercover', 'secretagent', 'britishsecretservice']",107.92881100000001,586090727,quantum of solace,6.1,2965,"['danielcraig', 'olgakurylenko', 'mathieuamalric', 'judidench', 'giancarlogiannini']",marcforster,killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini adventure action thriller crime marcforster
12,"['adventure', 'fantasy', 'action']","['witch', 'fortuneteller', 'bondage', 'exoticisland', 'monster']",145.84737900000002,1065659812,pirates of the caribbean: dead man's chest,7.0,5246,"['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'billnighy']",goreverbinski,witch fortuneteller bondage exoticisland monster johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy adventure fantasy action goreverbinski
14,"['action', 'adventure', 'fantasy', 'sciencefiction']","['savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman']",99.398009,662845518,man of steel,6.5,6359,"['henrycavill', 'amyadams', 'michaelshannon', 'kevincostner', 'dianelane']",zacksnyder,savingtheworld dccomics superhero basedoncomicbook superhuman henrycavill amyadams michaelshannon kevincostner dianelane action adventure fantasy sciencefiction zacksnyder
15,"['adventure', 'family', 'fantasy']","['basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing']",53.978602,419651413,the chronicles of narnia: prince caspian,6.3,1630,"['benbarnes', 'williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley']",andrewadamson,basedonnovel fictionalplace brothersisterrelationship lion humanbeing benbarnes williammoseley annapopplewell skandarkeynes georgiehenley adventure family fantasy andrewadamson
16,"['sciencefiction', 'action', 'adventure']","['newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook']",144.448633,1519557910,the avengers,7.4,11776,"['robertdowneyjr.', 'chrisevans', 'markruffalo', 'chrishemsworth', 'scarlettjohansson']",josswhedon,newyork shield marvelcomic superhero basedoncomicbook robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson sciencefiction action adventure josswhedon
17,"['adventure', 'action', 'fantasy']","['sea', 'captain', 'mutiny', 'sword', 'primeminister']",135.413856,1045713802,pirates of the caribbean: on stranger tides,6.4,4948,"['johnnydepp', 'penélopecruz', 'ianmcshane', 'kevinmcnally', 'geoffreyrush']",robmarshall,sea captain mutiny sword primeminister johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush adventure action fantasy robmarshall
18,"['action', 'comedy', 'sciencefiction']","['timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture']",52.035179,624026776,men in black 3,6.2,4160,"['willsmith', 'tommyleejones', 'joshbrolin', 'michaelstuhlbarg', 'emmathompson']",barrysonnenfeld,timetravel timemachine alien fictionalgovernmentagency seeingthefuture willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson action comedy sciencefiction barrysonnenfeld
19,"['action', 'adventure', 'fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)']",120.96574299999999,956019788,the hobbit: the battle of the five armies,7.1,4760,"['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",peterjackson,corruption elves dwarves orcs middle-earth(tolkien) martinfreeman ianmckellen richardarmitage kenstott grahammctavish action adventure fantasy peterjackson
20,"['action', 'adventure', 'fantasy']","['lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment']",89.866276,752215857,the amazing spider-man,6.5,6586,"['andrewgarfield', 'emmastone', 'rhysifans', 'denisleary', 'campbellscott']",marcwebb,lossoffather vigilante serum marvelcomic scientificexperiment andrewgarfield emmastone rhysifans denisleary campbellscott action adventure fantasy marcwebb
21,"['action', 'adventure']","['robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow']",37.668301,310669540,robin hood,6.2,1398,"['russellcrowe', 'cateblanchett', 'maxvonsydow', 'williamhurt', 'markstrong']",ridleyscott,robinhood archer knight sherwoodforest bowandarrow russellcrowe cateblanchett maxvonsydow williamhurt markstrong action adventure ridleyscott
22,"['adventure', 'fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon']",94.370564,958400000,the hobbit: the desolation of smaug,7.6,4524,"['martinfreeman', 'ianmckellen', 'richardarmitage', 'kenstott', 'grahammctavish']",peterjackson,elves dwarves orcs hobbit dragon martinfreeman ianmckellen richardarmitage kenstott grahammctavish adventure fantasy peterjackson
24,"['adventure', 'drama', 'action']","['filmbusiness', 'screenplay', 'showbusiness', 'filmmaking', 'filmproducer']",61.226009999999995,550000000,king kong,6.6,2337,"['naomiwatts', 'jackblack', 'adrienbrody', 'thomaskretschmann', 'colinhanks']",peterjackson,filmbusiness screenplay showbusiness filmmaking filmproducer naomiwatts jackblack adrienbrody thomaskretschmann colinhanks adventure drama action peterjackson
25,"['drama', 'romance', 'thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic']",100.025899,1845034188,titanic,7.5,7562,"['katewinslet', 'leonardodicaprio', 'francesfisher', 'billyzane', 'kathybates']",jamescameron,shipwreck iceberg ship panic titanic katewinslet leonardodicaprio francesfisher billyzane kathybates drama romance thriller jamescameron
26,"['adventure', 'action', 'sciencefiction']","['civilwar', 'war', 'marvelcomic', 'sequel', 'superhero']",198.37239499999998,1153304495,captain america: civil war,7.1,7241,"['chrisevans', 'robertdowneyjr.', 'scarlettjohansson', 'sebastianstan', 'anthonymackie']",joerusso,civilwar war marvelcomic sequel superhero chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie adventure action sciencefiction joerusso
28,"['action', 'adventure', 'sciencefiction', 'thriller']","['monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island']",418.708552,1513528810,jurassic world,6.5,8662,"['chrispratt', 'brycedallashoward', 'irrfankhan', ""vincentd'onofrio"", 'nickrobinson']",colintrevorrow,monster dna tyrannosaurusrex velociraptor island chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson action adventure sciencefiction thriller colintrevorrow
29,"['action', 'adventure', 'thriller']","['spy', 'secretagent', 'sociopath', 'killer', 'artgallery']",93.004993,1108561013,skyfall,6.9,7604,"['danielcraig', 'judidench', 'javierbardem', 'ralphfiennes', 'naomieharris']",sammendes,spy secretagent sociopath killer artgallery danielcraig judidench javierbardem ralphfiennes naomieharris action adventure thriller sammendes
30,"['action', 'adventure', 'fantasy']","['dualidentity', ""loveofone'slife"", 'pizzaboy', 'marvelcomic', 'sequel']",35.149586,783766341,spider-man 2,6.7,4321,"['tobeymaguire', 'kirstendunst', 'jamesfranco', 'alfredmolina', 'rosemaryharris']",samraimi,dualidentity loveofone'slife pizzaboy marvelcomic sequel tobeymaguire kirstendunst jamesfranco alfredmolina rosemaryharris action adventure fantasy samraimi
31,"['action', 'adventure', 'sciencefiction']","['terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic']",77.68208,1215439994,iron man 3,6.8,8806,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle', 'guypearce', 'rebeccahall']",shaneblack,terrorist waronterror tennessee malibu marvelcomic robertdowneyjr. gwynethpaltrow doncheadle guypearce rebeccahall action adventure sciencefiction shaneblack
32,"['family', 'fantasy', 'adventure']","['basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland']",78.530105,1025491110,alice in wonderland,6.4,4645,"['miawasikowska', 'johnnydepp', 'annehathaway', 'helenabonhamcarter', 'crispinglover']",timburton,basedonnovel fictionalplace queen fantasy aliceinwonderland miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglover family fantasy adventure timburton
